[2022-07-18 14:11:56,958] [DEBUG] [test_GetMaterialList] [获取物料信息:<Response [200]>
[2022-07-18 14:11:57,614] [DEBUG] [test_ModifyMaterial] [修改物料信息:<Response [200]>
[2022-07-19 11:14:39,771] [DEBUG] [test_GetAgreementList] [获取委托协议列表：<Response [400]>
[2022-07-19 11:55:58,061] [DEBUG] [test_GetAgreementList] [获取委托协议列表：<Response [200]>
[2022-07-19 11:59:36,022] [DEBUG] [test_GetAgreementList] [获取委托协议列表：<Response [200]>
[2022-07-19 12:00:52,250] [DEBUG] [test_GetAgreementList] [获取委托协议列表：<Response [200]>
[2022-07-19 12:01:55,711] [DEBUG] [test_GetAgreementList] [获取委托协议列表：<Response [200]>
[2022-07-19 12:02:56,219] [DEBUG] [test_GetAgreementList] [获取委托协议列表：<Response [200]>
[2022-07-19 12:04:13,374] [DEBUG] [test_GetAgreementList] [获取委托协议列表：<Response [200]>
[2022-07-19 12:26:34,547] [DEBUG] [test_GetAgreementList] [获取委托协议列表：<Response [200]>
[2022-07-19 12:26:46,471] [DEBUG] [test_GetAgreementList] [获取委托协议列表：<Response [200]>
[2022-07-19 12:29:09,464] [DEBUG] [test_GetAgreementList] [获取委托协议列表：<Response [200]>
[2022-07-19 12:32:06,311] [DEBUG] [test_GetAgreementList] [获取委托协议列表：<Response [200]>
[2022-07-19 12:32:41,527] [DEBUG] [test_GetAgreementList] [获取委托协议列表：<Response [200]>
[2022-07-19 12:33:59,676] [DEBUG] [test_GetAgreementList] [获取委托协议列表：<Response [200]>
[2022-07-19 12:36:32,697] [DEBUG] [test_GetAgreementList] [获取委托协议列表：<Response [200]>
[2022-07-19 12:36:50,460] [DEBUG] [test_GetAgreementList] [获取委托协议列表：<Response [200]>
[2022-07-19 12:37:37,627] [DEBUG] [test_GetAgreementList] [获取委托协议列表：<Response [200]>
[2022-07-19 12:38:01,610] [DEBUG] [test_GetAgreementList] [获取委托协议列表：<Response [200]>
[2022-07-19 12:39:10,219] [DEBUG] [test_GetAgreementList] [获取委托协议列表：<Response [200]>
[2022-07-19 12:40:21,641] [DEBUG] [test_GetAgreementList] [获取委托协议列表：<Response [200]>
[2022-07-19 12:41:27,901] [DEBUG] [test_GetAgreementList] [获取委托协议列表：<Response [200]>
[2022-07-19 13:39:00,611] [DEBUG] [test_GetAgreementList] [获取委托协议列表：<Response [200]>
[2022-07-19 13:40:27,942] [DEBUG] [test_GetAgreementList] [获取委托协议列表：<Response [200]>
[2022-07-19 13:41:56,502] [DEBUG] [test_GetAgreementList] [获取委托协议列表：<Response [200]>
[2022-07-19 13:42:41,899] [DEBUG] [test_GetAgreementList] [获取委托协议列表：<Response [200]>
[2022-07-19 13:43:18,357] [DEBUG] [test_GetAgreementList] [获取委托协议列表：<Response [200]>
[2022-07-19 13:47:40,405] [DEBUG] [test_GetAgreementList] [获取委托协议列表：<Response [200]>
[2022-07-19 13:47:54,161] [DEBUG] [test_GetAgreementList] [获取委托协议列表：<Response [200]>
[2022-07-19 13:48:24,268] [DEBUG] [test_GetAgreementList] [获取委托协议列表：<Response [200]>
[2022-07-19 13:48:50,914] [DEBUG] [test_GetAgreementList] [获取委托协议列表：<Response [200]>
[2022-07-19 13:49:37,123] [DEBUG] [test_GetAgreementList] [获取委托协议列表：<Response [200]>
[2022-07-19 13:49:56,766] [DEBUG] [test_GetAgreementList] [获取委托协议列表：<Response [200]>
[2022-07-19 13:51:36,345] [DEBUG] [test_GetAgreementList] [获取委托协议列表：<Response [200]>
[2022-07-19 13:52:04,387] [DEBUG] [test_GetAgreementList] [获取委托协议列表：<Response [200]>
[2022-07-19 13:53:13,996] [DEBUG] [test_GetAgreementList] [获取委托协议列表：<Response [200]>
[2022-07-19 17:16:44,230] [DEBUG] [test_CreateAgreement] [新增委托协议信息：<Response [200]>
[2022-07-19 17:16:44,630] [DEBUG] [test_GetAgreementList] [获取委托协议列表：<Response [200]>
[2022-07-20 09:52:19,136] [DEBUG] [test_GetAgreementList] [获取委托协议列表：<Response [200]>
[2022-07-20 09:53:47,504] [DEBUG] [test_GetAgreementList] [获取委托协议列表：<Response [200]>
[2022-07-20 10:13:32,919] [DEBUG] [create_topic] [新增委托协议信息：<Response [200]>
[2022-07-20 10:50:29,290] [DEBUG] [CreateAgreement] [新增委托协议信息：<Response [400]>
[2022-07-20 10:50:29,794] [DEBUG] [CreateAgreement] [新增委托协议信息：<Response [400]>
[2022-07-20 10:50:30,196] [DEBUG] [CreateAgreement] [新增委托协议信息：<Response [400]>
[2022-07-20 10:50:30,535] [DEBUG] [CreateAgreement] [新增委托协议信息：<Response [400]>
[2022-07-20 10:50:30,898] [DEBUG] [CreateAgreement] [新增委托协议信息：<Response [400]>
[2022-07-20 10:50:31,816] [DEBUG] [CreateAgreement] [新增委托协议信息：<Response [500]>
[2022-07-20 10:50:32,182] [DEBUG] [CreateAgreement] [新增委托协议信息：<Response [500]>
[2022-07-20 10:50:32,514] [DEBUG] [CreateAgreement] [新增委托协议信息：<Response [200]>
